,Title,published_date,Views,Likes,FavoriteCount,comments,Month
0,A Data Dream Come True,2023-11-17,1473,74,0,22,Nov
1,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,5366,362,0,73,Sep
2,How to Survive a Down Data Job Market,2023-09-05,16094,528,0,64,Sep
3,The Harsh Reality of the Data Job Market,2023-08-24,104942,2554,0,292,Aug
4,7 Industries AI will Aggressively Disrupt,2023-08-14,5740,235,0,41,Aug
5,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,3979,124,0,47,Aug
6,7 Enticing Jobs AI Will Create,2023-07-24,4484,193,0,36,Jul
7,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4001,142,0,31,Jul
8,Exciting Announcement!,2023-06-23,6542,294,0,50,Jun
9,AI: A Customer Service Revolution?,2023-05-26,3779,119,0,35,May
10,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,29576,1013,0,58,May
11,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,32516,1380,0,77,May
12,This AI question will determine our future,2023-04-06,4247,261,0,37,Apr
13,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70901,828,0,79,Apr
14,Your current portfolio is actually hurting you #shorts,2023-03-30,6898,411,0,7,Mar
15,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,6911,379,0,4,Mar
16,you're job searching wrong. #shorts,2023-03-23,4121,250,0,3,Mar
17,The Economics of Data Roles #shorts,2023-03-21,8280,524,0,10,Mar
18,Why your phone knows everything you say #shorts,2023-03-18,2819,126,0,7,Mar
19,Read these for a successful career. #shorts,2023-03-16,2995,241,0,2,Mar
20,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2427,44,0,5,Mar
21,How I Realized I Was a Bad Manager #shorts,2023-03-07,2649,125,0,1,Mar
22,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20180,758,0,51,Mar
23,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,7921,266,0,13,Mar
24,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2593,162,0,2,Feb
25,Learning On the companies dime #shorts,2023-02-24,3081,172,0,1,Feb
26,The Best Way to Transition to Data Science? #shorts,2023-02-21,4034,254,0,6,Feb
27,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6813,394,0,6,Feb
28,Don't Go into Data for the Money #shorts,2023-02-15,3734,219,0,12,Feb
29,First Data Science Project? Watch This.,2023-02-13,6749,345,0,22,Feb
30,How to Approach Applying for a Data Role #shorts,2023-02-08,3659,243,0,7,Feb
31,The Hard Reality of Data Science Work #shorts,2023-02-06,14833,828,0,14,Feb
32,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4532,191,0,6,Feb
33,These 3 Things Make Data Science Special #shorts,2023-02-01,4206,333,0,7,Feb
34,Will Data Science Be Automated? #shorts,2023-01-27,9128,396,0,8,Jan
35,Is Data Science A Good Fit For You? #shorts,2023-01-25,5049,288,0,11,Jan
36,5 Books I Wish I Read Earlier In My Career,2023-01-23,9230,516,0,50,Jan
37,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,6814,595,0,13,Jan
38,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6252,472,0,10,Jan
39,How long does it take to become a Data Scientist? #shorts,2023-01-12,6492,480,0,6,Jan
40,Where & how to start your Data Science Journey #shorts,2023-01-09,6732,413,0,2,Jan
41,How I Would NOT Learn Data Science in 2023.,2023-01-03,125678,4162,0,254,Jan
42,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4867,204,0,28,Dec
43,The Essential Programming Concepts For Learning Data Science,2022-11-14,20434,852,0,46,Nov
44,The Data Content House: What You Missed,2022-10-07,10464,348,0,49,Oct
45,Is Data Science A Good Career?,2022-09-29,61572,1941,0,139,Sep
